,adviseInfo,clCodeNm,cntntsNo,distbNm,dlthtsCodeNm,dlthtsManageInfo,eclgyCodeNm,etcEraInfo,flclrCodeNm,flpodmtBigInfo,flpodmtMddlInfo,flpodmtSmallInfo,fmlCodeNm,fmlNm,fmldeSeasonCodeNm,fmldecolrCodeNm,fncltyInfo,frtlzrInfo,growthAraInfo,growthHgInfo,grwhTpCode,grwhTpCodeNm,grwhstleCodeNm,grwtveCode,grwtveCodeNm,hdCode,hdCodeNm,hgBigInfo,hgMddlInfo,hgSmallInfo,ignSeasonCodeNm,imageEvlLinkCours,indoorpsncpacompositionCodeNm,lefStleInfo,lefcolrCodeNm,lefmrkCodeNm,lighttdemanddoCodeNm,managedemanddoCode,managedemanddoCodeNm,managelevelCode,managelevelCodeNm,orgplceInfo,pcBigInfo,pcMddlInfo,pcSmallInfo,plntbneNm,plntzrNm,postngplaceCodeNm,prpgtEraInfo,prpgtmthCodeNm,smellCode,smellCodeNm,soilInfo,speclmanageInfo,toxctyInfo,volmeBigInfo,volmeMddlInfo,volmeSmallInfo,vrticlBigInfo,vrticlMddlInfo,vrticlSmallInfo,watercycleAutumnCode,watercycleAutumnCodeNm,watercycleSprngCode,watercycleSprngCodeNm,watercycleSummerCode,watercycleSummerCodeNm,watercycleWinterCode,watercycleWinterCodeNm,widthBigInfo,widthMddlInfo,widthSmallInfo,winterLwetTpCode,winterLwetTpCodeNm
0,"식용, 지피, 약용, 향기,관엽, 관화, 관실","잎&꽃보기식물,열매보기식물",12938,파스향나무 (추천 유통명: 가울테리아),"응애,깍지벌레",,일반형,,"분홍색,흰색",,,,진달래과,063051,여름,빨강색,진달래과의 작은 관목으로 척박한 산성토양에서 잘 자라며 키는 20cm정도로 포복형이다.  암석정원에 잘 어울린다.,비료를 보통 요구함,25,15,082002,16~20℃,관목형,090003,느림,083002,40 ~ 70%,,,,여름,,"하층목,지피식물","화려함, 잎의 질감-중간, 잎의 광택-있음, 상록","녹색, 연두색",기타 (무늬없음 등),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058001,낮음 (잘 견딤),089002,경험자,"아시아, 아메리카,캐나다",,,,Gaultheria procumbens,"Checkerberry, Eastern Teaberry, (Spreading) Wintergreen","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",파종-9~11월/분주-3~5월,"파종,삽목,분주",079002,중간,"토양 : 중성,산성 / 배수 잘 됨 (Loam,Sand)",,,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,,,057001,0℃ 이하
1,대나무를 닮아서 이름까지 얻게 되었지만 사실은 대나무가 아닌 드라세나속의 관엽,잎보기식물,12954,개운죽,"응애,깍지벌레",,"일반형,수경형",,,,,,백합과,063033,,,"화분에 심을 경우에는 부드럽고 배수가 잘 되는 토양에 심음
※ 개운죽은 관엽으로 분류되어 있지만 사실은 잎보다 잎이 떨어진 후 대나무처럼 보이는 줄기가 더욱 관상의 대상이 된다. 직선보다 곡선의 줄기가 필요한 경우에는 줄기를 곡선으로 유도할 수 있다.",비료를 거의 요구하지않음,30,90,082002,16~20℃,직립형,090002,보통,083002,40 ~ 70%,,,,,,"중층목,하층목",,"녹색, 연두색",기타 (무늬없음 등),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058001,낮음 (잘 견딤),089001,초보자,서부 아프리카,,,,Dracaena sanderiana 'Virens',Sander's dracaena,"거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,삽목,079004,거의 없음,,"수경은 물주기가 필요 없으나, 화분은 1-2주에 한번씩 충분히 관수한다.",있음,,,,,,,053002,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),053002,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),053002,흙을 촉촉하게 유지함(물에 잠기지 않도록 주의),053003,토양 표면이 말랐을때 충분히 관수함,,,,057005,13℃ 이상
2,부드러운 연두빛의 침엽수를 연상하게 하는 실내식물로 허브 향을 지님,잎보기식물,12955,"율마, 골드크리스터 (추천 유통명: 윌마)","응애,깍지벌레",,일반형,,,,,,측백나무과,063054,,,"※ Cupressus macrocarpa 품종 중에 'wilma', 'goldcrest' 등의 품종이 있는데, 우리가 사용하고 있는 율마라는 이름은 “wilma""에서 나온 것으로 생각된다. 따라서 율마라는 이름이 윌마로 교정되어야하지 않을까 고려된다.바람에 약하며 줄기 아랫부분의 잎이 떨어지면 황량한 느낌을 주지만 토피아리 형식으로 키울 수도 있다.크리스마스 트리로 실내에 장식하면 좋다.",비료를 보통 요구함,50,100,082002,16~20℃,직립형,090002,보통,083002,40 ~ 70%,,,,,,"중층목,하층목",,"녹색, 연두색",기타 (무늬없음 등),"높은 광도(1,500~10,000 Lux)",058002,보통 (약간 잘 견딤),089002,경험자,북부 아메리카,,,,Cupressus macrocarpa 'Wilma',Monterey cypress,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,삽목,079001,강함,,겨울에는 건조하게 관리한다. 어린 나무일수록 물을 더 자주 준다.,,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,,,057004,10℃
3,방풍 / 차폐 / 가장자리 경계,잎보기식물,12957,"공작야자, (추천 유통명: 미티스야자)","응애,깍지벌레",,일반형,,흰색,,,,야자과,063060,여름,빨강색,"포름알데히드, 벤젠, 톨루엔, 트리클로로 에틸렌",비료를 보통 요구함,100,300,082003,21~25℃,직립형,090002,보통,083003,70% 이상,,,,여름,,상층목,잎의 광택-있음 / 잎의 질감-굵고 선명한 / 상록 / 껍질질감- 부드러움 / 가시-없음,"녹색, 연두색",기타 (무늬없음 등),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058003,필요함,089002,경험자,"동남아시아, 인도네시아",,,,Caryota mitis,"Fish tail palm, Burmese Fishtail Palm, Clustered Fishtail Palm","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,파종,,,"토양-중성,산성/배수잘됨/타입-Loam",,,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,,,,057005,13℃ 이상
4,,잎&꽃보기식물,12962,,"응애,깍지벌레,온실가루이",,일반형,,분홍색,,,,베고니아과,063029,,,,비료를 보통 요구함,30,30,082002,16~20℃,관목형,090002,보통,083002,40 ~ 70%,,,,봄,,"하층목,지피식물",,"녹색, 연두색,은색, 회색,빨강, 분홍, 자주색",점무늬,"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058002,보통 (약간 잘 견딤),089002,경험자,"인도, 남아메리카원산식물의 교잡종",,,,Begonia  spp.,foliage begonia,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,삽목,,,,,,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,,,,057005,13℃ 이상
5,"컨테이너, 경계, 차폐, 방풍/ 암모니아 흡수에 최강인 관엽식물",잎보기식물,12963,관음죽,"응애,깍지벌레",일반적으로 병이나 해충이 없으나 매우 드물게 응애가 생기기도 한다.,일반형,너무 건조하게 관리하면 잎이 마르거나 갈변한다.,,,,,야자과,063060,,,"손바닥 모양의 잎을 가진 집에서 기르기 쉽고 그늘과 추위에도 잘 견디고 병해충에도 강하기기 때문에 기르기 쉬운 식물이다.
자라는 속도가 느려서 관리가 편하다. 반엽이 들어있는 종은 색상이 더욱 아름답다. 2년에 한 번씩 분갈이를 해 주면 좋다.",비료를 보통 요구함,70,200,082002,16~20℃,관목형,090003,느림,083002,40 ~ 70%,,,,,,"상층목,중층목",잎의 질감-거침 / 잎의 광택-있음 / 상록,"녹색, 연두색",기타 (무늬없음 등),"낮은 광도(300~800 Lux),중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058002,보통 (약간 잘 견딤),089002,경험자,"한국, 일본, 중국남부",,,,Rhapis excelsa,"Fan Palms, (Large) Lady Palm, Bamboo Palm, Broad-leaved Lady Palm, Ground Rattan","실내 어두운 곳 (실내깊이 500 이상cm),거실 내측 (실내깊이 300~500cm),거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,"파종,분주",,,"중성,산성 / 배수 잘 됨 / 타입-Loam, Sand","관음죽을 지하관수나 수경재배로 기르는 경우에는 수돗물 속의 염분이나 미네랄이 잎 끝에 축적되어 갈색으로 변할 수도 있다. 































이런 현상이 나타날 때에는 갈색으로 변한 부분만 가위로 잘라내면 된다. 그러면 염분도 제거할 수 있고 특유의 톱니모양의 녹색 잎을 유지시킬 수 있다.",수액이 인체의 피부나 점막을 자극할 수 있음,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,,,057002,5℃
6,,잎&꽃보기식물,12966,"모기풀, (추천 유통명: 구문초)","응애,깍지벌레,온실가루이",,일반형,,"분홍색,흰색",,,,쥐손이풀과,063050,,,,비료를 보통 요구함,50,50,082002,16~20℃,관목형,,,083002,40 ~ 70%,,,,"봄,여름",,"중층목,하층목",,"녹색, 연두색",기타 (무늬없음 등),"중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058003,필요함,,,이집트,,,,Pelargonium rosium,rose geranium,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,삽목,079002,중간,,,모기퇴치 식물,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,,,057004,10℃
7,꽃말 '만족',잎&꽃보기식물,12972,"구즈마리아, (추천 유통명: 구즈마니아)",응애,,일반형,,"분홍색,빨강색,노랑색",,,,파인애플과,063056,,,식물체 중심 잎과 잎 포기 사이 물통에 물이 고이도록 함,비료를 보통 요구함,30,30,082003,21~25℃,로제트형,090003,느림,083002,40 ~ 70%,,,,"봄,여름",,하층목,잎이 가죽질로 표면이 반들반들하다. 꽃을 감싸고 있는 윗 부분의 잎들이 빨갛게 물들어(포엽) 보기가 좋다.,"녹색, 연두색,흰색, 크림색","줄무늬,기타 (무늬없음 등)","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058003,필요함,089002,경험자,중앙 아메리카,,,,Guzmania lingulata,Striped torch,"거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,분주,,,,"이 구즈마니아는 습도가 높은 것을 좋아하며, 음지에서 잘 자라기 때문에 아파트에서 기를 경우 차광을 강하게 하는 것이 바람직하다. 







생육에 알맞은 온도는 낮에는 25-30℃, 밤에는 20℃ 정도이며 추위에는 약한 편으로 겨울에 10℃ 이상은 유지해 주어야 안전하게 월동할 수 있다.",,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,,,,057005,13℃ 이상
8,"꽃말: 고귀, / 君子蘭(군자란)은 이름 끝에 ‘란’이라고 되어있지만 난 종류가 아님/컨테이너, 표본, 경계",잎&꽃보기식물,12974,,"응애,깍지벌레",,일반형,,"빨강색,오렌지색,노랑색",,,,수선화과,063042,"여름,가을",빨강색,,비료를 보통 요구함,30,50,082002,16~20℃,풀모양,090003,느림,083002,40 ~ 70%,,,,"봄,여름",,하층목,잎-화려함 / 잎의 광택-있음 / 상록,"녹색, 연두색,흰색, 크림색","줄무늬,기타 (무늬없음 등)","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058002,보통 (약간 잘 견딤),089002,경험자,남아프리카의 나탈,,,,Clivia miniata,"Scarlet Caffir Lily,Kaffir Lily, Clivia, Bush lily","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",봄,"파종,분주",,,,"군자란의 수명은 30년 이상으로 장수하는 식물이다.







어린 묘로부터 시작하면 3년은 지나야 꽃이 피지만, 일단 꽃을 피운 것은 이듬해부터는 매년 꽃을 피운다. 







씨앗으로 번식해도 되지만 꽃이 피기까지 5년 정도 걸리기 때문에 보통은 포기나누기 한다. 







씨앗은 11월경에 충분히 성숙된 것을 따서 뿌리면 되는데 다소 저온인 16-21℃에서 발아가 잘된다. 포기나누기는 늦은 겨울이나 이른 봄에 한다.",복용시 치명적 독성,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,,,057004,10℃
9,,잎&꽃보기식물,12988,,"진딧물,응애,온실가루이",,일반형,,"분홍색,흰색",,,,꿀풀과,063008,,,,비료를 보통 요구함,50,10,082002,16~20℃,덩굴성,,,083002,40 ~ 70%,,,,"봄,여름",,지피식물,,"녹색, 연두색,흰색, 크림색","점무늬,잎 가장자리 무늬,기타 (무늬없음 등)","중간 광도(800~1,500 Lux),높은 광도(1,500~10,000 Lux)",058001,낮음 (잘 견딤),089001,초보자,유럽,,,,Glecoma hederacea 'Variegata',"Ground ivy, Gill-over-the-ground","거실 창측 (실내깊이 150~300cm),발코니 내측 (실내깊이 50~150cm),발코니 창측 (실내깊이 0~50cm)",,삽목,,,,,,,,,,,,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053003,토양 표면이 말랐을때 충분히 관수함,053004,화분 흙 대부분 말랐을때 충분히 관수함,,,,057002,5℃
